comment,SEJ_label,PEJ_label,MRJ_label
그거하고 2윌 중순에  유럽여행 가려는 검은 꼼수.개돼지야 찢어라. 우리는 놀러간다 이거냐!,1,1,1
대본없이 국민들과 대화.  기자들과 대화해라,0,0,0
녹화...  녹화.  지금  드라마  찍냐~???  그렇게도  자신 없으면  그냥  없는듯  가만히  있어라  그래야  국민들이 덜  피곤하다.,1,1,1
"선거 다가오니, 후달리나?",1,1,1
짜고 치는 고스톱 참 어이가 없다,0,0,0
무엇이라해두 믿어지지가 안는다,0,0,0
우리가 알고있는 토론과 윤석열이 알고있는 토론의 개념이 너무 다른거 아닌가?  무엇이든 질문할수 없는 자유?,0,0,1
불리한 질문못하게 막고 함정 음해세력 남발하겠군손준성 고발사주건도 검찰총장때 아니라고 음해세력 떠들더니 유죄나왔는데 윤무능 너도 미래가 보인다,1,1,1
"무능한 입벌구가 녹화방송,,,에라",1,1,0
생방송도 아나고 녹화방송?,0,0,0
녹화방송 한단다웃기는  사람이야 하여튼..,1,0,0
또 헛소리만 짓거리겠구나 ㅡ뇌물 범죄자 김건희구속하고 또 다른 뇌물을 찾기위해 압수수색해라,1,1,1
수사하고 구속해야하는데 ㆍㆍ자신을 군사독재시절  전두환처럼 거의 왕으로 생각하나보네,1,1,1
삼팔선 넘어 북쪽에서나 일어날 일이 2024년 용산에서 일어나고  있다는 것이 믿어지지가 않아  헛웃음이 나온다.,0,0,0
설날전에 바보짓하는 재미난거 보여 줄라고?  ㅎㅎ,1,1,1
네가 기자회견도 하나 못하는 대통이냐? 술을 얼마나 쳐마셨으면 그나이에 치매가 걸려서 기자회견도 못하느냐? 나라를 더 망치기 전에 하야해라.,1,1,1
대담 필요없다... 똥구린내나는 니마누라 어데 숨어있노?,1,1,1
"대통령 직위를 이용해서 일방적으로 방송사 집고, 일방적인 주장을 지껄이려하눈구나. 이것도 직권 남용과 허위사실유포 아닌가?",1,1,1
인간아..관심없다. 명절기분 잡치고 싶지 않아..꺼지라구,1,1,1
"근데왜 녹화로 할까 생방송으로해야지하긴 말주변이없으니까 그게났게네
할말이야 뻔하고 자기변명이나늘어놓겠지
건희대통령비호하는 방송안보느게 속편하지",0,1,1
이젠 하다하다 종북세력 음모 조작소리까지 나오더라 간첩이 오는길에 명품매장이라도 들렀나보네?,1,1,1
"그게 무슨 대담이냐?드라마지.
미리 녹화해서 편집하고
보여줄것만   보여주는것.
김거니 각본.
윤서결 연출",0,1,1
기자회견 하나를 못하는 수준의 대통령이라니~ 한심,1,1,1
"대담 생방으로하다가 국회에서 날리면 어떡하냐,,,컨츄리 꼬꼬가 오 마이 쥴리야 하고 노래부르다가 바이든한테 연 날리면 쪽팔려서 어떡하냐,,",1,1,1
놀고 있네. 윤돼지가 놀고 있네.,1,1,1
얼마나 자신없으면 녹화방송을 한다니? 혹시나 헛소리 할까봐서 그러지?,1,1,1
하든가 말든가! 쟈가 터는 건 죄다 구라! 영양가 없다!,1,1,1
좌파들 대통령을 검찰에 고발,1,1,1
녹화방송...그때그시절 전두환 신군부시절 언론 검열때로 돌아가는군...2024년도 대한민국 맞나....,0,1,1
거니는 코 ㄹ 거 ㄹ 이 되었고 악덕 뚜쟁이도 되었다아아아아아아네에에,1,1,0
국가와 국민에게 유해하고 무익한 정권이다.,0,0,1
사전 녹화? 장난하냐? 그게 대국민 담화냐?,0,1,1
똥마려운 강아지에겐 수갑을!,0,1,0
그런 것을 인터뷰 대담에 녹화로 해서 손질하고 편집하고..진정성 자체가 글러먹었다!,1,1,0
참 빨리도... 신년 대담 기자회견 한다...김빠진 콜라 같다,0,0,0
KBS보지말자 무관심이 답이다,1,1,1
우리 쥴리는 1원한장 피해준적 없습니다..ㅋㅋㅋ 또 헛소리만 늘어놓겠지.....ㅋㅋ,1,1,1
안봐도 비디오. 지 처의 잘못보다는 몰카한 놈만 욕할 듯.,1,1,1
사전녹화라고 웃기네  도어스텝핑도 개차반되고 2찍들만 보겠네,1,1,1
사전녹화....꼴갑을 떨어요,1,1,1
왜 국민소통한다면서 청와대 나왔쟎아?,0,1,0
"옹호한다~~~에 ,손목아지 건다!",0,1,0
도대체 여기 모집된 사람들은 어떻게 뽑는건가요? 소통한다고 용산으로 가더니..무슨 소통을 했다는 건지..참 답답합니다,0,0,0
아무도 안 보는 개비에스에서 사전녹화? 지 할말만 씨부리겠다? 더 떨어질 지지율이라도 있나 ㅋ,1,1,1
조심해서 언급혀라.. 어버버..에..에 거리다 끝나면 탄핵될라.,1,1,1
수사받아야지 ㅡㅡ먼 소리,1,0,0
KBS..그리고 녹화대담..편집하고..국민을 현혹하고 속이겠다는 특별한 대담!,0,1,0
쇼하고 자빠졌다ㆍ어이상실,1,1,0
ㅎㅎㅎㅎ 뭐가 논란이야,0,0,0
에이그..뭔  신년인사를 녹화로 하냐?  김건희수호대들은   입다물어라..신년인사에서   김건희가   피해자라는    코스프레했다가는   골로간다,1,1,1
Kbs와 조선 동아 중앙 초청해서 합동 연설좀 하시지...,0,0,0
으흑~~~또~뭔~제발  그만,0,0,0
녹화래  ㅋ 얼마나 못났으면 기자회견도 못하고 ㅋ,1,1,1
