comment,SEJ_label,PEJ_label,MRJ_label
우크에서 드론으로 이 돼지 사살했으면 좋겠다,1,1,1
나쁜놈들. 그래봐야 알거 다 안다더라.,1,1,1
"외국 유학도 했고, 지 애비 할배보단 깨어있을거라 생각했는데~ 더 무지막지한 놈이었네",1,1,1
김정은참수작전이 유일한 해결책이다돼지한마리죽이는것이 2500만명을 구하는길이다.,1,1,1
대깨문과 개딸들 추가요,1,1,1
한국 민주당 하고 개딸들 무료로 북송 해주자,1,1,1
"양산 책장수,형수지보 찢 그리고 그 지지,추종 졸개들 데리고 가라 北으로 중국 국경지역에 ㅡ모두 떠나라 !",1,1,1
김주애 어린애를 우리나라 80년대 복부인 페션 진짜 촌스럽다,1,1,1
제발 암살좀해라 21세기 최대악,1,1,1
북한의 젊은이를 남의 나라 침략전쟁터에 총알받이로 보내는 것과 가족에게 속이는 것 등등을 북한 전 주민에게 어떻해서든 알려야 한다. 그것도 실시간으로,0,1,1
악랄한ㄴ 곧 김씨 일가 폭망 소식으로 북한 동포들에게 자유로운 세상이 열려지길~~,1,1,1
할배 아부지보다 더 배웠다는너미  생각하는게 딘핑이보다 못하네..차단이 얼마짜릴거 같냐...늬들도 다 됐구나,1,1,1
ㅋㅋㅋㅋ 찢남로당 토착 뻘개이 것들도 같이 좀 이주시켜주면 안 될까??,1,1,1
문재인도  이주시켜주라~  지긋지긋 하다~^ ^,1,1,1
요쪽  개들도 같이 그쪽으로 데리고가,1,1,1
모지리! 너만 물러나면 돼 바보야! 수많은 국민들 고생시키지 말고.,1,1,1
너희의 말로가 다가오는구나,0,1,0
스타링크를 북한에 뿌리면 끝날 일. 인터넷 풀리는 순간 끝남,0,1,1
대북방송  365일   24시간  해라    휴전선  일대  인민군도  빼는지  보자,0,1,1
ㅋㅋ 대북방송의 위력. ㅈㄴ 쫄리긴 하나보더,1,1,1
민주당애들 데리고 가라 ~,1,1,0
그사람들 입장에선 거기가 탈북하기는 더 쉬울텐데,0,0,0
다행이다 주애가 나와서... 아들 나왔으면 또 억지로 살 찌우고 머리 이상하게 잘랐을텐데...,0,1,1
정은이나 돼지우리로 이주하라우,1,1,1
강제 이주라!존세상 맘대로도 못살고 불쌍타,1,1,1
그래이주시켜라 잘하는일이다ㆍ그럼아주그지역전부불바다만들기좋아지겠다 ㆍ휴전선30킬로북쪽으로 모두이주시켜라 쩡은아ㆍㆍ,0,1,1
시대 역행하는구나...ㅉㅉ,0,1,0
이주 시킨다고 물이 안들겠냐 정은아,0,1,0
남의나라 신경 엄청 쓰네. 돼지는 선택귄을 줘라 미사일머로 먹고싶은지. 종류다양하다,1,1,1
중국을 통해 더 많이 접할것을 모르네. 하여간 남북이 똑 같네!,1,1,1
음.. 곧 쳐들어 올라고 준비 중 이다.경계하자,0,1,1
이들의 행동을 심각하게 바라봐야한다.,0,0,0
저 뚱녀만 이제마무리되면 될듯,1,1,1
민주당오열~ 친애하는 정은수령말을 와 안듣네,1,1,1
그나마 깨끗한 공기 마시던 사람들 다 중국 최악의 스모그 직빵으로 마시면서 살겠네,0,1,1
전쟁 하려고 대피시키는건 아닌지 긴장을 늦추면 안된다,0,0,0
김주애는 아닌것  같다. 저 선한 눈빛은 공산당과는 맞지않다. 고로 후계자로 염두하고 있다면 당장 거두어라 정은아. 한솔이가 보고있다.,1,1,1
개성공단으로 평화가 찾아왔는데. . 멍청한 보수정권이 날려먹었지. .,1,1,1
안타깝고 유감스럽지만 한반도 북쪽은 싸그리 정리하고 새롭게  리셋해야합니다.,1,1,1
김정은심기를 건드리는 이런 훈련은 민주당과 이죄명이 아주 싫어합니다,1,1,1
북괴 무리들이 핵무기를 사용할 조짐이 있으면 즉시 원점 타격  하여 북괴 핵무기가 북한 영토에서 터져  버리는거지~,1,1,1
무인기로 정찰 & 폭격이라... 굉장히 실전적으로 들린다.,0,0,0
핵을 가지고 노는 원숭이들...위험천만...,1,1,1
리퍼가 이란 혁수대 쿠드즈 사령관을 공항에서 가루로 만들었는데.,0,1,1
더불어공산당이 집권하면 핵단추 미국이 가져가고 국민의힘이 집권하면 핵단추를 우리에게 줘라..그러면 북한도 꿈쩍 못한다.,1,1,1
한국전쟁 원흉 김일성 뒷배 소련 연방이 우크라...공산당끼리 싸움에는 공산민주당 동지들 보내라,1,1,1
진실은 엄마뱃속에 두고 나온자들에 거짓말,0,1,1
"무기지원도 하지마라우리는 전시중 멈춘것뿐이다
미대선도 지켜봐라",0,1,1
붕짜자 붕짜 하며 이나라 젊은이들 보낼려다가 들키니 시치미 딱!!,1,1,1
왜 한국이 유일하게 저 전쟁에 휘말려서 이 난리냐 .. 이제 신경도 쓰지마라.,0,1,1
너희들이 국정을 운영힐 감이나 되냐? 모지리들아!!! 국내일도 똥을 싸서 뭉개는 주제에!!!,1,1,1
모가지를 따러가자. 뿡짜라 뿡짜 나는 이인간보면 극우 수구 꼴통으로 밖에 안보인다 딱 윤가가 좋아하는 스타일 유유 상종,1,1,1
완결판? ㅎㅎㅎ 그럼 이제 뭘로 깔짝거릴란고?,0,1,0
북한에서 1만6천km 사거리면 사실상 미국전역이 사정거리에 들어가는 수준이 됨,0,0,0
"조선 좁쌀들아, 밑밥 없이 어떻게  고기를 유혹하냐, 니들이 요새  일본에 알랑대는 이유가 뭐지 개돼지들 처럼",1,1,1
돌아가는 태세가… 심상찮다 무섭다 분단국가라는 사실,0,0,0
북한인권만 인권인양 퍼주기한 간첩더불당 + 핵때중이+죄인이 쓰리콤보 콜라보로 핵 완성 시켜버림,1,1,1
선전이아니고 진짜라고믿고 우리도 전쟁대비해야된다 무슨 양치기소년꼴이냐,1,1,1
북한돼지넘 좋단다 ㅋㅋㅋㅋㅋㅋㅋ 찢재명이도 좋아할듯ㅋㅋㅋㅋㅋㅋ,1,1,1
"군인들 군사 훈련, 한미일 군사훈련, 핵무장 반대하는 사람은 100% 간첩입니다 사형시켜야 합니다",1,1,1
