comment,SEJ_label,PEJ_label,MRJ_label
"이런 군대가 있어야 국민이 군대를 믿고 생업에 열중하며 살 수 있습니다. 국민을 위해 수고해주셔서 감사합니다.
대한민국 군인 화이팅~~!!!",0,0,1
"북괴 김돼지 민주주의하는 소리하고 자빠졌네, 왜놈들한테 독도 팔아먹으려던거 반역죄로 처벌부터 받고와라!!",1,1,1
아직까지도 전쟁해야 제정신으로보는사람 많구나 와 이나라세뇌국가라서다르네,0,1,1
멀쩡한 자국영토 분쟁지역으로 만들고. 이런 넘이 국방장관이라니...,1,1,1
도발하면  주식매매  해야쥐~~~~?    개   ~~~3~~~~ㅋㅋㅋㅋ,1,1,1
난 입으로 싸운다. 붕짜자 붕짜,1,1,0
정치는 고차원인데 윤정권 하는 짓거리는 저차원. 미국하고 중국 벌써 서로 화해모드 신호 주고 받잖아. 멍청해,1,1,1
그래서 다 퍼주던 문재앙 때 한국게임 판호는 하나도 안열어주고 한국 영화나 가수 공연은 죄다 막혔었군요,1,1,1
읽어보니 더 머리 아프네. 윤이 이걸 할 수 있다고 생각하나? 그냥 차라리 한동훈한테 다 맡겼으면 좋겠다.,0,1,1
수출 막히면 망하는 나라에서 가진건 사람 밖에 없는데 사람도 안태어나고 수출도 막히니 미래가 뻔하구만,0,0,1
선상님 저 들은 이미 글렀어요.  검새공산일베정부와 당은 답이 업슴,1,1,1
용산 아둔한자를  끌어내려야한다!  나라를 위험에 빠져들게하고 성장을  막고있다. 빠를수록  모두가 사는길 ㅡ,1,1,1
공산당과는 어떤 교류도 해서는 안됩니다. 그게 북한이든 중국이든 베트남이든. 625를 잊었습니까.,0,1,1
한미일만 강조하다가 중러에 팽당하는 일을 초래했다,0,0,1
"김흥규 교수 평생 중국연구만 했는데 미일중심으로 재편되면 학계에서, 비지니스에서 할게 없거든 ㅋㅋ",0,0,1
중국이 울나라 2찍으로 생각하남 윤가야.,0,1,1
"경향신문은 민주당 추종자들만 데려다 인터뷰하나보네 중공,북조선 개노릇만한 문죄인이 간첩인줄 모르나봐",1,1,1
북한공산당은 주적입니다,1,1,1
주적 북한을 주적이라 부르지않는 양산 개장수와 대가리 깨져야 할것들 이것들부터 뿌리 뽑아야한다,1,1,1
북한은 6.25 전이나 지금이나 변함이 없다,0,0,1
지 할애비가 한 짓거릴  또하면 북한내 김씨들 멸족시키자,1,1,1
말만하지말고 행동을 보여가. 지금까지 무슨 북핵차단만 회치고 해놓은게 없잖아,0,1,1
우리의 주적은 북한이다!!!,0,1,1
멧돼지 어쩌나...선제타격할래?,0,0,0
군대나 다녀와라. 진짜 쪽팔리다,1,1,1
"참 부끄러움이 없네~~역사의식 영토의식이 없는 장관이라니~~
지 잘못을 대통령한테 사과? 임마 국민에게 사과해도 모 자랄판이다",1,1,1
모든 대한민국해병대 장병들과 국군장병들께 무한의 감사를 드리며 무운을 기원합니다. 필승!,0,0,0
