comment,SEJ_label,PEJ_label,MRJ_label
"일본 총독 윤석열, 일본 국방부 장관 신원식",0,1,1
그 대통령에 그 장관.뭘 더 바래!,0,0,1
정부랑 국방부 진짜 역대급이다....역대급 일본앞잡이 ㅡㅡ,1,1,1
이로써 윤썩열 정부는 대한민국 정부가 아님이 밝혀졌다.,1,1,1
좌파 우파 떠나서 이건 있어선 안될일.그냥 해프닝으로 끝낼일 절대 아님.,0,0,0
윤석열은 국가반역자이고 그를 지지하는 자들은 국가반역세력이다!!!,1,1,1
탄핵하고 모든걸 정상으로 돌려놓자,0,0,1
KBS도 독도 빼고 보도하던데 진짜 미친건지....,1,1,1
항의조차 안하는 친일대통령ㅋㅋㅋ 신원식이 아니라 윤석열 작품 아냐?,1,1,1
영토를 침범한 자는 무조건 적이다!!!,0,1,1
경상북도분들....독도는 어느나라 땅이요?,0,1,1
윤석열이 독도를 일본에 주기로 한거 아닐까..  그러니 국방부에서 저런 미친짓을 벌이지..,1,1,0
제대로 대응도못하고 윤정권 뭐하나  이번임기 금방 지나간다  끝나고나서 닥칠 후폭풍 어찌강당하려나,0,1,1
kbs 뉴스도 독도 뺀 지도로 방송…. 뭐냐 늬들??,0,1,1
"일본은 표기하고, 한국은 포기하고..",0,1,0
독도가 분쟁지역이냐! 우리땅이지 먼 분쟁? 이것두 일본에 가져다바치게? 윤**이가 바치랬나,0,1,1
대한민국 정부는. .이런데도 가만있네. . 일본대사 불러들이던가. .일본에 강력하게 항의해야지. . .대통령 잘못 뽑아서 나라도 넘기겠어,1,1,1
윤씨 격노안하냐!!!!!!!! 격노는 이럴때 해야는거야!!!!!!,0,1,1
정신  나간것들  참말로  많아  저런것들이  정부 요직을  차지하고  있으니    이완용이한테  나라를  맡긴거나   마찬가지지,1,1,1
왜 그냥 용산에 있지 말고 조선총독부 제건해서 그리로 다 들가지??,0,1,1
"이런 불순분자들이 국방을 담당하고 있으니,,,나라꼴이 이모양이지. 나라를 지키라고 그 자리에 앉혀놓았는데,,, 나라를 팔아먹게 생겼네",1,1,1
국방부가 미쳤구나...친일파가 숨어있는거 아냐??,1,1,1
신원식 이 저주받아 죽을 갮,1,1,1
석렬이와  국방부가    짜고   나라 팔아먹엇다..,1,1,1
이런데도 독도 예산을 삭감시킨다? 일본이 파트너다 석열아 그냥 거니랑  손잡고 일본으로 가라 더이상 친일파한테 내세금내기싫다,1,1,1
윤석열정부 항의도 안할걸 일본은 무조건 따라야한다고 생각하는 매국친일정권인데 그래도 너무한다 이젠 독도까지 넘겨버리는구나 ㅠㅠㅠ,1,1,1
일본대사 초치도 못하는 버저리같은 ㅉㅉㅉ,1,1,1
