comment,SEJ_label,PEJ_label,MRJ_label
23%의 지지율에도 이상하게 윤석열 찬양 댓글이 훨씬 많은 네이버 ㅋㅋ,0,0,0
남녀갈등ㅋㅋㅋㅋㅋ남자의 일방적인 여혐역사는 왜 안 되돌아보는데?,1,1,1
계엄령이 확실했나 보네. 촛불들자.,0,1,1
"""눈 귀 입 틀어막겠다""",0,1,0
SNS랑 네이버에서 여론조작하는 중선족이 많다. 찾아내서 다 쫓아버려야함,1,1,1
북한이냐? 뭘 자꾸 규제를 한대,0,1,1
입틀막 귀틀막을 포털에서 하겠다는거지  입법한다고 통과가 되겟냐 니네 속셈을 뻔히 아는데,1,1,1
각종 포털에서 중국인들만 포털에서 치워도 훨씬 나아질텐데 그걸 못하지,1,1,1
20년전에 해야할것을 이제야 한다,0,0,0
"악의 국가인 중국에서 보낸 공작원들 색출해 감옥에 보내는 게 필요. 북한, 미국 등 공작원들도. 우리 국정원 등 댓글 요원들도 감옥에 보내고.",1,1,1
대놓고 댓글 감시하겠단거네.. 와 방금 행복의 나라 영화보고왔는데..,0,0,0
이 친일파 매국노 언제 감옥가노?? 두고보자,1,1,1
디씨인사이드 부터 폐쇄하지? 거긴 아예 중국에 서버두고 직원도 조선족이라던데,0,1,1
남녀갈등 유발 규제한다고 왱알거리는거 보니 이 나라의 여혐적폐를 공론화하는 쪽만 귀신같이 쳐잡겠다는 불순한 의도네 ㅉㅉ 여혐이 국가안보더냐?,1,1,1
좌파 세력 민주당이 거품 물고 반대하겠네,1,1,1
성범죄자가 성범죄자지 뭔 적대세력? 공산당이 쓸만한 워딩인데,1,1,1
이게 북한이야 중국이야? 대놓고 언론 규제하겠다고하는데 참,1,1,1
"* 정당한 통제라면 문제될 것 아무 것도 없고, 오히려 좋은 것이다. 다만, 아전인수식 통제가 되어서는 아니 될 것이다.",0,0,0
이용안하면 잠정휴지기시켰던 개인정보보호법부터 완화시켰더만 뭔 소리야. 보이스피싱은 어쩌고,0,1,1
