comment,SEJ_label,PEJ_label,MRJ_label
일본이 좋아하는 말만 하는놈이 친일매국노다,1,1,1
이건아니죠 역사의 중요성을먼저 강조하고 발전을얘기해야죠,0,0,0
저러기도 힘들텐데 한결같아 대단함.퇴임후의 모습이 기대됨,0,0,0
쪼옥발국아. 쟤 좀 데려가라.,1,1,1
니가 말 안한다고해서  있었던 역사가 없어지니??,0,1,1
어련하겠냐? 오로지 국짐 영업사원1호답게 총선에만 올인하여 사는ㅈ인간인데,1,1,1
토착왜구고 일본이 장기간 투자했던 결과물이지...,1,1,1
역사는 잊으면 안된다고 한다. 그래서 오늘 또 역사를 만들어 가야 한다. 내일의 역사를 위해서 .,0,0,0
돈심도없는자들 퇴단 되어야.,1,1,1
믿을놈들을 믿어라 역사는 말한다 뒤통수 남아나질 안을 정도로 뒤통수치는 쩍발이들 믿으라고 🐕 소리도 예술이다,1,1,1
한국 국민보다 일본 국민이 더 좋아하는 한국대똥령~ 윤써글노메상~,1,1,1
대한민국의 자존심이 망각되어간다ᆢ,0,0,0
셔녀리을  반드시 탄핵해야 나라가 바로서고 국가와 국민이 산다,1,1,1
좋게좋게가자.. 역사도 흐름이있는법..그나마 일본이 낫다..,0,1,1
"좌익 거짓 날조 역사전교조의 거짓 교육의 역사
다 무시하고
미래를 위해 나가는 행보
응원합니다",1,0,0
11일동안 86건 ㅋㅋㅋㅋ 역시 공공병원 좋구나,0,0,1
"11일동안 일반인 40명이 추가로 받은걸, 받았다고 해야하는지 안받았다고 해야하는지...",0,0,0
어머 아무리 급해도 군병원은 시른가봐? ㅋㅋ,0,1,1
"11일동안 80 여건. ,... 차암 큰일 하셨네 한의원들은 뭐하나 동참 안하고..",0,1,1
이쯤되면 진짜 응급실이 부족한지 생각좀 해보자.  2천명 늘린다고 사회적 비용 소모하느니 군병원 항시 개방하면 되는 거 아닌가??/,0,0,1
"군병원 전면 개방하고, 진료 24시간 연장하라!!! 이제는 군 빅5로 가야할때이다. 국군수도 대전 대구 강릉 고양!! 외쳐 빅5555!!",0,0,1
"그리 욕하며 나쁘다고 하면서 군병원까지 의사 찾아가는건 또 뭐냐
어이없네",1,1,0
자랑이다 아유 창피함을 모르네,1,1,1
하루 8명 봤다는거네 ..생각보다 넘 적은데?,0,0,1
ㅋㅋㅋㅋㅋㅋㅋ 넘웃김 11일동안 80명봐도 돌아가는 응급실이있다ㅡ?,0,0,0
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그토록 원하던 ""공공""의료 맛좀 봐야제? 군병원 수술방 드가자~~~~",0,1,1
"국립대나 가톨릭대 의사들은 적어도  먼저  사랑을가지고 환자를 치료하겠다는 마음을 가져야 되는게
도리아닌가?",0,0,1
민주주의에 역행하는 윤석열과 의대총장놈들이다..니놈들은 의사들의 희생에 어떤 조치를 취한적이 있냐..의사는 직업일뿐 봉사직이 아니다..,1,1,1
정부가 직접 나서서 읍소하면 모양 빠지니까 병원장들에게 총동원령 내렸네 ㅋㅋㅋㅋㅋ,1,1,1
의사들 돈 덜벌게하고싶어서 내가 낼 건보료 늘리는 정책 찬성하는건 좀 아니지않나.. 찬성하는 사람들 좀 바보같은데,0,1,1
방법이 틀렸어. 그리고 면허 박탈하라는 양반들아. 주변 친인척이나 지인중 의사가 한명도 없냐? 문제가 뭔질 몰라?,0,1,1
