comment,SEJ_label,PEJ_label,MRJ_label
이 때 북진통일 무조건 하고 저 넘 모아지 팍 따자!!,1,1,1
와... 살 너무찐거 아닌가요...,0,0,1
"이런고집스런집단독일은. 이ㄴ미일구어냇다.
존재이유는?",1,1,1
함부로 나대지 말고 조용히 거러지들은 거러지들끼리 살아....!!,1,1,1
사람은 고져  남한처럼 너무 먹을것이 넘치면 행복이 먼지 모르디  ㅡ 인민들 가끔씩 굶주리고  가끔씩 갱냉이 더져주면 고져 그게 행복이라우.,0,1,1
오늘은 통일 기념일이 아닌 구 일본 제국 군국주의에 대한 민중의 항거를 기념하는 날 아니었나? 굳이 오늘 할 만한 축사 내용은 아니라 생각되는데.,0,0,0
북한에는 선제타격 ........일본하고는 새로은 세상 ????   일본은 변화가 없는데 ????,0,1,0
김정은보다 더 폭악 무도한 인간 말종. 서민은 안중에 없고 끼리끼리 잘해먹어라.,1,1,1
입틀막 할 자유!! 저 사람 정체성이 뭔지 모르겠다,1,1,1
김정은 압색할건가? ㅋㅋㅋ,0,1,1
붙일걸 붙여야지 지마음대로야,0,1,1
뭘 알고 카는지 얘는 그냥 내려와야돼.,1,1,1
지금 시중엔 이런 소문이 돈다는데...윤석열이 내뱉는 말은 반대로 해석해야 한다는...,0,0,1
통일 필요없다. 2천5백만 수급자 누가 감당할건가? 국민연금도 손 못 대면서 ㅉㅉ,1,1,1
실은 북이무서운것~  미국아니면 안되는데 트럼프되면  한미는 없어지거덩~~ㅎㅎ,0,1,1
3월 1일 어떤 날인지 모르는건가? 저러다 곧 6월 25일.. 그 날은 북한하고 파트너쉽 논하겠네..,0,1,1
왜?? 건희 석열이 스승인 천공이 내년 가을에 국민도 알 수 없게 통일 된다고 하던데.. ???,0,1,0
왜?? 김건희가 통일에 나서보겠다해서???,0,0,0
통일관련 그 어떤 정책도 하는거 없으면서 입만..,1,1,0
이 넘은 이랫다 저랫다 우왕좌왕 아무말 대잔치로 내깔리며 지가 한말도 뭔말인지도 모르고 지껄이고 있다.,1,1,1
MBC 일기예보 미세먼지 1이 그렇게 아니꼬왔냐? 지들은 세로로 자위대라고 써놓고 대놓고 친일인거 드러내네 ㅋㅋ,1,1,1
피곤하게 중국하고 국경 맞대고 있는거 보다 지금이 더 좋지 않나 서로 신경 끄고 살자 ㅋㅋ,0,0,1
2000명 의대증원 정책은 한미동맹이 추구하는 한반도 자유통일 작업의 일환이라고 나는 확신한다.,0,0,1
"이제서야? 그리고 3.1절 기념식에 맞지않는 연설,,,",0,1,0
오늘 태극기 조차 문앞에 달지 않은 국민은 일본 독립 운운 하지말아라. 역겹다.,1,1,1
김정은만 죽으면 통일돼 그럼 북한 핵은 삭 지우는 거야..,1,1,1
자유 라는 가치있는 단어를 이렇게 걸레짝으로 만든 인물도 없을듯,1,1,1
뭔 자유? 언론사 겁박하는거나 기업 총수들 동원하는거 보면 거의 군사정권급이던데...,0,1,1
왕이로소이다 아주 지가 대한민국을 주물러서 개판을 만드는 역적 왕이로소이다,1,1,1
여기부터 자유 번영 누리게 하라 헛소리 작작 해대고.,1,1,1
"그냥 아무것도 하지 말고 있다가 교도소나 갔으면. 그게 정의, 공정이잖아.",1,1,1
이걸 정부 주도로 하지  ???   전문가들과 협력해서 정해야지,0,0,0
윤석열정권이 자유민주주의 ??   싸구려 포풀리즘에 쩐 전체주의적 독재정권아닌고???,1,1,1
삼일절에 웬 뜬금없는 통일 아무말이나 지꺼리기  옛날 박근혜 허공을 맴도는 내용없는 말 밷기,1,1,1
