comment,SEJ_label,PEJ_label,MRJ_label
더불어 돈봉투 돌려 터진당 민주당 아버지 이재명이 전과4범 5개씩 기소된 피의자 범죄호소인 종북주사파 좌파 김일성주의자 벌갱이 말좀 해봐라? 쎄쎄쎄 쎄쎄,1,1,1
북한놈들은 절대 우리 민족이 아니고 러시아 잡종이네요.,1,1,1
저때 현무 발사시켜라.,0,1,1
정으니 대가빡엔 이래도 되나? 가 계속있을것이다 그치만 자존심때문에 ㅉㅉ 잠도못잘텐데 불쌍하네,1,1,1
대한민국 절대권력 부정부패의 수괴 코올걸 접때부출신 <술집개잡부 쥴리 게年> 도 초청해서 폭탄주 한밥그릇 따르라고 햐~,1,1,1
그래서 뭐 어쩌라고 개조선아 ㅋㅋㅋㅋ 😆,1,1,1
럼프형 여기 최신미사일 한방 부~~~탁 해요,0,1,0
완전 고립되서 망해가던 북한과 러시아 군사동맹시켜주고 트럼프와 단독정삼회담 시키는 윤석열 당신이란 사람은 도대체... ㅋㅋㅋ,1,1,1
이런 민주당이 정은이한테 속았는지.,1,1,1
젤렌형님이 암살단 보낼듯..전 세계 두 독재자 한방에 보내버려라,1,1,1
우리나라도 이스라엘처럼 정신적으로 강하고 힘이 있어야 한다 다른나라가 전쟁나면 지켜줄거란 착각말고 핵미사일 개발이 답이다,0,1,1
정은아 이번 기회에 러시아를 점령해라.,1,1,0
"지구 상에서 꼭 없어져야 할 것들 = 푸틴, 시진핑, 개정은, 찢죄, 네타냐후, 또랑프",1,1,1
북한이 군대 보내면 우리는 우크라에 무기 지원하다고..  강력하게 항의하라.,0,1,1
우리도 첨단 군사기술을 빨리 받아들여야 하는 순간이야...,0,0,0
전쟁이 길어지면 푸틴 독재정권은 붕괴될것이다.,0,0,1
불고기 패티 두 장 새우 패티 두 장 불새버거IV,0,0,0
대문 네지말구  조용히이 도와조 극비로 북한도 잘하누만,0,1,1
북한이 줬다고 우리도 주면 멍청이나 하는 짓이다.,1,1,1
북한군 참수된 시체 보고싶다,1,1,1
북한산 불새는 롯데리아선에서 정리될듯ㅋ,0,0,0
그 유명한 유로마이단의 주장 ㅋㅋ,0,0,0
아 긍께 스텔스 폭풍군단은 어디에?,0,0,0
거 엄청 떠드네 그냥 니들이 알아서 해,1,1,1
담엔 그 무기 뺐어다가 북한군 죽이기 시전!,1,1,1
한겨례. 이재명.  문재인은 왜 이런 기사에는 조용한지. 지령받나?,1,1,0
이런 정보를 수집 하는것을 못하게 하는 민주당은 북의 지시를 받나?,0,1,1
기자라는 직업은 검증안하고 번역해오는것이 기자구나,1,0,0
Very good   !!!,0,0,0
미국 등 서방국가가 한국을 못 믿는 이유...친중친러종북 라도 때문...언제 돌변해서 양키고홈을 외칠지 몰라...중국공산당의 지령을 받아서...,1,1,1
북한은 불새 -> 불닭으로 변경해라,1,0,0
굳이 방구석에서 우크라이나를 까는 이유가? 북한이 동족이라매..동족잡아다가 총알받이 세운 북돼지 하고 푸틴이 욕해야되는거 아니여?,1,1,1
우파병 사진은 저것밖에 없나...돌려쓰기 지겹지도않냐...,1,1,0
북한 무기 파괴되었다는 소식에 이상하게 발작하는 댓글들 작성자 먼저 확인해봐라,1,1,1
양산  문어벙이 입맛없겠네,1,1,1
